latitude,longitude,weather,road_type,time_of_day,risk_score,severity
28.694837586266136,77.17122732575113,Clear,Intersection,Night,55,1
28.50324325778173,77.09796437595287,Fog,Intersection,Night,100,2
28.78275356229328,77.10633444278538,Fog,Intersection,Night,100,2
28.544427103628486,76.99890671609363,Clouds,City Street,Late Night,38,0
28.434852220881925,76.89087237518802,Drizzle,City Street,Afternoon,31,0
28.68710336641438,77.32552619573357,Drizzle,Intersection,Morning,52,1
28.69187928350246,76.88104391542439,Clouds,Residential,Night,39,0
28.574331089481813,77.142051675207,Drizzle,City Street,Evening,32,0
28.54345461624086,76.97739720413904,Fog,Intersection,Night,90,2
28.85444928182919,77.10955849837889,Fog,Residential,Evening,83,2
28.631718893736508,76.94124154926526,Drizzle,Highway,Late Night,73,1
28.85604259737342,76.97467447703855,Clouds,Intersection,Late Night,47,1
28.530256035345374,77.25465765234196,Rain,Intersection,Afternoon,84,2
28.53697867877893,76.98791237351172,Clouds,Intersection,Night,60,1
28.664228578941664,77.3068560192457,Rain,Residential,Morning,39,0
28.7005576103293,77.0578649610273,Rain,City Street,Late Night,75,1
28.77322119941461,76.87262259026967,Drizzle,Residential,Morning,35,0
28.67787550673802,77.03781086583174,Fog,Market Area,Late Night,68,1
28.415571156338732,77.16706215532359,Clouds,Residential,Night,34,0
28.79911304483024,77.09488003703855,Rain,City Street,Afternoon,39,0
28.456151376767306,77.1979291648258,Drizzle,Intersection,Afternoon,48,1
28.560537803125897,77.18710133925053,Thunderstorm,Highway,Afternoon,82,2
28.83705676656521,76.9564610950084,Thunderstorm,Residential,Evening,93,2
28.76007732525548,76.85375391406694,Fog,City Street,Night,85,2
28.844264008406558,76.91639498395315,Clouds,Intersection,Night,52,1
28.45539470998605,77.11640636063944,Clear,Highway,Afternoon,27,0
28.699686225244502,77.29436081133007,Clear,Residential,Afternoon,10,0
28.40202437281931,76.96825632785269,Rain,Intersection,Late Night,91,2
28.818516545309674,76.86553678316533,Clouds,Highway,Night,70,1
28.76074367778359,77.33125595727127,Drizzle,Highway,Night,64,1
28.42717781715006,77.16874237594583,Rain,Intersection,Night,95,2
28.80082904475843,77.00141484923505,Rain,Intersection,Morning,72,1
28.656678228114494,77.0271722735075,Clear,Highway,Night,67,1
28.48370915019993,77.16773047765084,Clear,Highway,Morning,39,0
28.681494215595436,77.29029987744114,Drizzle,Highway,Night,82,2
28.755570858434233,77.15170885468049,Fog,Residential,Late Night,90,2
28.783204310566692,77.0431244586705,Drizzle,Highway,Morning,39,0
28.644768222883865,77.10084761111327,Thunderstorm,City Street,Afternoon,72,1
28.69153010911789,76.95504927667098,Fog,Highway,Afternoon,65,1
28.727356606914988,76.84775504295968,Fog,Market Area,Late Night,84,2
28.63356950097038,77.28677307180413,Clear,Highway,Morning,38,0
28.603279290286387,77.0535149076106,Clouds,Market Area,Evening,35,0
28.79787155754388,77.20947937981981,Clouds,Highway,Late Night,59,1
28.73498755573675,77.01169882276847,Thunderstorm,Intersection,Afternoon,94,2
28.668779141177946,76.87908787207752,Rain,Intersection,Late Night,82,2
28.463547427318925,76.93678832645263,Fog,Market Area,Morning,50,1
28.837765976513012,77.16748451032015,Rain,Highway,Night,91,2
28.857653392767848,77.33047244363233,Clouds,City Street,Morning,15,0
28.79679234591672,76.93688276904903,Thunderstorm,Market Area,Morning,65,1
28.63600128479809,77.29108189971632,Clouds,Intersection,Afternoon,26,0
28.519019487701367,77.15391490110981,Clear,Highway,Night,47,1
28.767607570670062,77.08490317496799,Rain,City Street,Night,76,2
28.860441340080733,77.13758470959125,Drizzle,Highway,Morning,45,1
28.700010398038202,77.27407010841767,Fog,Market Area,Afternoon,70,1
28.410973629545765,77.12473322231314,Rain,Highway,Night,80,2
28.81096747311554,77.16508838066267,Clouds,Highway,Morning,39,0
28.52470059265832,77.24718806180549,Clear,Intersection,Night,53,1
28.76676887506925,76.865551243895,Clear,Intersection,Afternoon,43,1
28.525052909728497,76.94911209625468,Thunderstorm,Intersection,Morning,84,2
28.615808035694094,77.11890804959603,Fog,Residential,Night,84,2
28.665121922210194,77.33400569368263,Clouds,Highway,Afternoon,24,0
28.519586046024084,76.97914874074678,Clear,Market Area,Night,33,0
28.525712199591204,76.92623928462518,Clouds,City Street,Evening,35,0
28.748847085656518,76.94693519723539,Drizzle,Market Area,Evening,58,1
28.551420732034195,77.03396495959274,Clouds,Highway,Evening,63,1
28.703570303240728,77.2417115935217,Clouds,Highway,Afternoon,34,0
28.74110267786309,77.30674224676294,Clear,Highway,Evening,39,0
28.84467574433342,77.29549581204193,Thunderstorm,Highway,Night,95,2
28.851277547258874,77.23043856480307,Fog,Highway,Evening,88,2
28.41999406097362,77.27378386691036,Thunderstorm,City Street,Evening,88,2
28.49830825273813,77.02583434312939,Thunderstorm,Market Area,Evening,77,2
28.672844429430945,77.12508912921645,Clouds,Highway,Night,63,1
28.641466751821564,76.93056402980244,Drizzle,Market Area,Afternoon,35,0
28.403572507566256,77.22451742799552,Fog,Intersection,Afternoon,75,1
28.87137005969529,77.32616484371685,Drizzle,Highway,Evening,67,1
28.54037155836071,77.07130984663861,Drizzle,Intersection,Night,79,2
28.449183768602136,77.29852044592089,Fog,Market Area,Night,77,2
28.504859278278595,77.14112381753496,Rain,Intersection,Late Night,99,2
28.54153008002986,76.95780710237342,Clouds,Residential,Morning,13,0
28.614583465387465,76.8980564625633,Rain,Market Area,Morning,45,1
28.649671523029387,76.93592087976504,Thunderstorm,Intersection,Evening,100,2
28.543516659575946,77.19880993057342,Thunderstorm,Residential,Night,91,2
28.693288516685353,77.02902938166295,Fog,Market Area,Night,76,2
28.814782008032765,77.21372018649119,Clouds,Residential,Night,36,0
28.473602764393387,76.96756843635417,Drizzle,Intersection,Evening,67,1
28.848382522533722,76.87974656149983,Fog,Residential,Evening,80,2
28.478584906719625,76.89582019466971,Clouds,Intersection,Morning,47,1
28.565974042829485,77.06688102823738,Clouds,Highway,Late Night,48,1
28.750513464878082,76.98264104017386,Drizzle,City Street,Morning,39,0
28.42998349132611,77.3351867193992,Clear,Market Area,Afternoon,4,0
28.727297926654636,76.96432863899736,Clear,City Street,Evening,30,0
28.590174204833602,76.88357978537566,Clear,Residential,Afternoon,28,0
28.56854101270113,77.0045811354807,Clear,Residential,Afternoon,9,0
28.543742454106074,76.98611602754295,Rain,Market Area,Evening,70,1
28.537915142739198,77.1760677191915,Fog,Market Area,Afternoon,44,1
28.463957890862993,76.9492288770347,Thunderstorm,Market Area,Afternoon,62,1
28.733016181280192,77.13038964665475,Clouds,City Street,Evening,27,0
28.40245668240059,76.89583924932322,Drizzle,Residential,Afternoon,30,0
28.733048114300473,76.87498028826276,Fog,Highway,Late Night,100,2
28.59932640980131,77.10266022865325,Drizzle,Intersection,Night,77,2
28.84315965461388,77.13970947402954,Clouds,Intersection,Morning,24,0
28.804544645581014,76.8821175970443,Thunderstorm,Highway,Morning,81,2
28.51568964951546,77.27060893210273,Thunderstorm,Intersection,Late Night,100,2
28.45788934922856,77.02716970464161,Drizzle,Highway,Evening,45,1
28.615083725235554,77.0483536836957,Fog,Market Area,Morning,57,1
28.601981319012854,77.19057708606579,Fog,Residential,Morning,55,1
28.800200885914393,77.29103759858924,Thunderstorm,Highway,Late Night,100,2
28.56268418289262,77.17270718004261,Clear,Residential,Evening,30,0
28.63298950540164,77.17836277604873,Thunderstorm,Residential,Morning,72,1
28.75409696120662,77.17125394469679,Drizzle,Highway,Night,77,2
28.561388803756092,77.26802201715564,Rain,Highway,Evening,82,2
28.611680255855486,77.27297564069353,Clear,City Street,Evening,46,1
28.572785178709534,77.28739099659317,Drizzle,Intersection,Morning,43,1
28.825352789095998,77.15313210168155,Fog,Highway,Morning,61,1
28.434029641135243,77.15988566770343,Thunderstorm,City Street,Evening,79,2
28.70953737720245,77.15065735398362,Clouds,Residential,Afternoon,16,0
28.51403112593781,77.1203505129771,Rain,City Street,Afternoon,59,1
28.69527267614619,77.2771337073478,Rain,Intersection,Afternoon,67,1
28.754984637256808,77.01408946944377,Drizzle,Residential,Afternoon,32,0
28.833076193651774,77.16163693839586,Clear,Highway,Night,53,1
28.721328805078265,77.28119831114643,Clear,Intersection,Evening,43,1
28.616792238872442,76.86575643966653,Clouds,City Street,Afternoon,33,0
28.5400031531775,76.97169497257188,Rain,Highway,Afternoon,60,1
28.52098007627033,77.14912414642919,Drizzle,Market Area,Morning,35,0
28.685772788011796,77.19806666078672,Clear,Highway,Late Night,45,1
28.539795098630258,76.84407943792122,Thunderstorm,City Street,Afternoon,68,1
28.450218048927493,77.10861210888194,Rain,Intersection,Morning,57,1
28.675577986647053,77.31315081373373,Clear,City Street,Night,35,0
28.531725866389277,77.03793298239427,Drizzle,City Street,Afternoon,31,0
28.65198062040823,77.25601456578063,Thunderstorm,Residential,Late Night,83,2
28.44493726461998,77.2232730634686,Thunderstorm,Market Area,Afternoon,61,1
28.55615335503802,77.19504067971526,Thunderstorm,Highway,Evening,91,2
28.409871258646135,77.05234902187281,Clear,Intersection,Morning,45,1
28.451797962855004,77.0278352200039,Thunderstorm,Residential,Late Night,100,2
28.54715660146927,77.04867187546611,Clouds,Intersection,Evening,64,1
28.494853255467266,77.3380323659062,Clear,Residential,Evening,25,0
28.498435104900917,77.23673140380586,Clear,Market Area,Night,48,1
